,Name,Time,Date,DataPoint1,DataPoint2,Moving_Avg,Noise,Average100
62,Thomas,1:20:00,6/22/15,27.0,27,48.4126984127,-21.4126984127,48.4126984127
63,Thomas,1:21:00,6/22/15,22.0,22,48.0,-26.0,48.0
64,Thomas,1:21:00,6/22/15,22.0,22,47.6,-25.6,47.6
65,Thomas,1:21:00,6/22/15,58.0,58,47.7575757576,10.2424242424,47.7575757576
66,Thomas,1:22:00,6/22/15,40.0,40,47.6417910448,-7.64179104478,47.6417910448
67,Thomas,1:22:00,6/22/15,94.0,94,48.3235294118,45.6764705882,48.3235294118
68,Thomas,1:22:00,6/22/15,30.0,30,48.0579710145,-18.0579710145,48.0579710145
69,Thomas,1:23:00,6/22/15,78.0,78,48.4857142857,29.5142857143,48.4857142857
70,Thomas,1:23:00,6/22/15,25.0,25,48.1549295775,-23.1549295775,48.1549295775
71,Thomas,1:23:00,6/22/15,21.0,21,47.7777777778,-26.7777777778,47.7777777778
72,Thomas,1:24:00,6/22/15,8.0,8,47.2328767123,-39.2328767123,47.2328767123
73,Thomas,1:24:00,6/22/15,85.0,85,47.7432432432,37.2567567568,47.7432432432
74,Thomas,1:24:00,6/22/15,3.0,3,47.1466666667,-44.1466666667,47.1466666667
75,Thomas,1:25:00,6/22/15,53.0,53,47.2236842105,5.77631578947,47.2236842105
76,Thomas,1:25:00,6/22/15,38.0,38,47.1038961039,-9.1038961039,47.1038961039
77,Thomas,1:25:00,6/22/15,77.0,77,47.4871794872,29.5128205128,47.4871794872
78,Thomas,1:26:00,6/22/15,90.0,90,48.0253164557,41.9746835443,48.0253164557
79,Thomas,1:26:00,6/22/15,51.0,51,48.0625,2.9375,48.0625
80,Thomas,1:26:00,6/22/15,95.0,95,48.6419753086,46.3580246914,48.6419753086
81,Thomas,1:27:00,6/22/15,22.0,22,48.3170731707,-26.3170731707,48.3170731707
82,Thomas,1:27:00,6/22/15,31.0,31,48.1084337349,-17.1084337349,48.1084337349
83,Thomas,1:27:00,6/22/15,60.0,60,48.25,11.75,48.25
84,Thomas,1:28:00,6/22/15,10.0,10,47.8,-37.8,47.8
85,Thomas,1:28:00,6/22/15,38.0,38,47.6860465116,-9.68604651163,47.6860465116
86,Thomas,1:28:00,6/22/15,94.0,94,48.2183908046,45.7816091954,48.2183908046
87,Thomas,1:29:00,6/22/15,68.0,68,48.4431818182,19.5568181818,48.4431818182
88,Thomas,1:29:00,6/22/15,92.0,92,48.9325842697,43.0674157303,48.9325842697
89,Thomas,1:29:00,6/22/15,1.0,1,48.4,-47.4,48.4
90,Thomas,1:30:00,6/22/15,68.0,68,48.6153846154,19.3846153846,48.6153846154
91,Thomas,1:30:00,6/22/15,25.0,25,48.3586956522,-23.3586956522,48.3586956522
92,Thomas,1:30:00,6/22/15,76.0,76,48.6559139785,27.3440860215,48.6559139785
93,Thomas,1:31:00,6/22/15,35.0,35,48.5106382979,-13.5106382979,48.5106382979
94,Thomas,1:31:00,6/22/15,71.0,71,48.7473684211,22.2526315789,48.7473684211
95,Thomas,1:31:00,6/22/15,63.0,63,48.8958333333,14.1041666667,48.8958333333
96,Thomas,1:32:00,6/22/15,52.0,52,48.9278350515,3.07216494845,48.9278350515
97,Thomas,1:32:00,6/22/15,12.0,12,48.5510204082,-36.5510204082,48.5510204082
98,Thomas,1:32:00,6/22/15,24.0,24,48.303030303,-24.303030303,48.303030303
99,Thomas,1:33:00,6/22/15,32.0,32,48.14,-16.14,48.14
100,Thomas,1:33:00,6/22/15,45.0,45,48.02,-3.02,48.02
101,Thomas,1:33:00,6/22/15,90.0,90,48.03,41.97,48.03
102,Thomas,1:34:00,6/22/15,88.0,88,48.12,39.88,48.12
103,Thomas,1:34:00,6/22/15,45.0,45,47.73,-2.73,47.73
104,Thomas,1:34:00,6/22/15,97.0,97,48.4,48.6,48.4
105,Thomas,1:35:00,6/22/15,92.0,92,48.49,43.51,48.49
106,Thomas,1:35:00,6/22/15,99.0,99,48.85,50.15,48.85
107,Thomas,1:35:00,6/22/15,4.0,4,48.39,-44.39,48.39
108,Thomas,1:36:00,6/22/15,79.0,79,48.46,30.54,48.46
109,Thomas,1:36:00,6/22/15,88.0,88,48.8,39.2,48.8
110,Thomas,1:36:00,6/22/15,63.0,63,49.03,13.97,49.03
111,Thomas,1:37:00,6/22/15,70.0,70,49.37,20.63,49.37
112,Thomas,1:37:00,6/22/15,14.0,14,49.29,-35.29,49.29
113,Thomas,1:37:00,6/22/15,82.0,82,49.91,32.09,49.91
114,Thomas,1:38:00,6/22/15,73.0,73,49.64,23.36,49.64
115,Thomas,1:38:00,6/22/15,39.0,39,49.23,-10.23,49.23
116,Thomas,1:38:00,6/22/15,86.0,86,49.43,36.57,49.43
117,Thomas,1:39:00,6/22/15,98.0,98,49.82,48.18,49.82
118,Thomas,1:39:00,6/22/15,94.0,94,50.68,43.32,50.68
119,Thomas,1:39:00,6/22/15,100.0,100,51.05,48.95,51.05
120,Thomas,1:40:00,6/22/15,60.0,60,51.34,8.66,51.34
121,Thomas,1:40:00,6/22/15,21.0,21,50.84,-29.84,50.84
122,Thomas,1:40:00,6/22/15,1.0,1,50.46,-49.46,50.46
123,Thomas,1:41:00,6/22/15,83.0,83,51.1,31.9,51.1
124,Thomas,1:41:00,6/22/15,94.0,94,51.62,42.38,51.62
125,Thomas,1:41:00,6/22/15,34.0,34,51.76,-17.76,51.76
126,Thomas,1:42:00,6/22/15,31.0,31,52.04,-21.04,52.04
127,Thomas,1:42:00,6/22/15,10.0,10,52.01,-42.01,52.01
128,Thomas,1:42:00,6/22/15,38.0,38,51.44,-13.44,51.44
129,Thomas,1:43:00,6/22/15,8.0,8,51.38,-43.38,51.38
130,Thomas,1:43:00,6/22/15,72.0,72,51.49,20.51,51.49
131,Thomas,1:43:00,6/22/15,87.0,87,52.29,34.71,52.29
132,Thomas,1:44:00,6/22/15,3.0,3,51.63,-48.63,51.63
133,Thomas,1:44:00,6/22/15,35.0,35,51.46,-16.46,51.46
134,Thomas,1:44:00,6/22/15,93.0,93,51.66,41.34,51.66
135,Thomas,1:45:00,6/22/15,54.0,54,51.86,2.14,51.86
136,Thomas,1:45:00,6/22/15,6.0,6,51.77,-45.77,51.77
137,Thomas,1:45:00,6/22/15,85.0,85,51.91,33.09,51.91
138,Thomas,1:46:00,6/22/15,22.0,22,52.1,-30.1,52.1
139,Thomas,1:46:00,6/22/15,18.0,18,52.23,-34.23,52.23
140,Thomas,1:46:00,6/22/15,1.0,1,51.62,-50.62,51.62
141,Thomas,1:47:00,6/22/15,16.0,16,51.62,-35.62,51.62
142,Thomas,1:47:00,6/22/15,30.0,30,51.33,-21.33,51.33
143,Thomas,1:47:00,6/22/15,48.0,48,51.22,-3.22,51.22
144,Thomas,1:48:00,6/22/15,54.0,54,50.8,3.2,50.8
145,Thomas,1:48:00,6/22/15,35.0,35,50.82,-15.82,50.82
146,Thomas,1:48:00,6/22/15,10.0,10,50.52,-40.52,50.52
147,Thomas,1:49:00,6/22/15,52.0,52,50.4,1.6,50.4
148,Thomas,1:49:00,6/22/15,68.0,68,50.76,17.24,50.76
149,Thomas,1:49:00,6/22/15,9.0,9,50.54,-41.54,50.54
150,Thomas,1:50:00,6/22/15,27.0,27,50.0,-23.0,50.0
151,Thomas,1:50:00,6/22/15,92.0,92,50.29,41.71,50.29
152,Thomas,1:50:00,6/22/15,68.0,68,49.99,18.01,49.99
153,Thomas,1:51:00,6/22/15,43.0,43,50.28,-7.28,50.28
154,Thomas,1:51:00,6/22/15,12.0,12,50.13,-38.13,50.13
155,Thomas,1:51:00,6/22/15,75.0,75,50.63,24.37,50.63
156,Thomas,1:52:00,6/22/15,69.0,69,50.62,18.38,50.62
157,Thomas,1:52:00,6/22/15,82.0,82,50.67,31.33,50.67
158,Thomas,1:52:00,6/22/15,16.0,16,49.85,-33.85,49.85
159,Thomas,1:53:00,6/22/15,100.0,100,50.34,49.66,50.34
160,Thomas,1:53:00,6/22/15,89.0,89,50.93,38.07,50.93
161,Thomas,1:53:00,6/22/15,50.0,50,51.38,-1.38,51.38
162,Thomas,1:54:00,6/22/15,55.0,55,51.66,3.34,51.66
163,Thomas,1:54:00,6/22/15,31.0,31,51.75,-20.75,51.75
164,Thomas,1:54:00,6/22/15,30.0,30,51.83,-21.83,51.83
165,Thomas,1:55:00,6/22/15,36.0,36,51.61,-15.61,51.61
166,Thomas,1:55:00,6/22/15,50.0,50,51.71,-1.71,51.71
167,Thomas,1:55:00,6/22/15,93.0,93,51.7,41.3,51.7
168,Thomas,1:56:00,6/22/15,84.0,84,52.24,31.76,52.24
169,Thomas,1:56:00,6/22/15,55.0,55,52.01,2.99,52.01
170,Thomas,1:56:00,6/22/15,3.0,3,51.79,-48.79,51.79
171,Thomas,1:57:00,6/22/15,29.0,29,51.87,-22.87,51.87
172,Thomas,1:57:00,6/22/15,19.0,19,51.98,-32.98,51.98
173,Thomas,1:57:00,6/22/15,73.0,73,51.86,21.14,51.86
174,Thomas,1:58:00,6/22/15,91.0,91,52.74,38.26,52.74
175,Thomas,1:58:00,6/22/15,26.0,26,52.47,-26.47,52.47
176,Thomas,1:58:00,6/22/15,49.0,49,52.58,-3.58,52.58
177,Thomas,1:59:00,6/22/15,55.0,55,52.36,2.64,52.36
178,Thomas,1:59:00,6/22/15,40.0,40,51.86,-11.86,51.86
179,Thomas,1:59:00,6/22/15,36.0,36,51.71,-15.71,51.71
180,Thomas,2:00:00,6/22/15,57.0,57,51.33,5.67,51.33
181,Thomas,2:00:00,6/22/15,70.0,70,51.81,18.19,51.81
182,Thomas,2:00:00,6/22/15,80.0,80,52.3,27.7,52.3
183,Thomas,2:01:00,6/22/15,49.0,49,52.19,-3.19,52.19
184,Thomas,2:01:00,6/22/15,34.0,34,52.43,-18.43,52.43
185,Thomas,2:01:00,6/22/15,86.0,86,52.91,33.09,52.91
186,Thomas,2:02:00,6/22/15,65.0,65,52.62,12.38,52.62
187,Thomas,2:02:00,6/22/15,54.0,54,52.48,1.52,52.48
188,Thomas,2:02:00,6/22/15,100.0,100,52.56,47.44,52.56
189,Thomas,2:03:00,6/22/15,97.0,97,53.52,43.48,53.52
190,Thomas,2:03:00,6/22/15,9.0,9,52.93,-43.93,52.93
191,Thomas,2:03:00,6/22/15,82.0,82,53.5,28.5,53.5
192,Thomas,2:04:00,6/22/15,12.0,12,52.86,-40.86,52.86
193,Thomas,2:04:00,6/22/15,82.0,82,53.33,28.67,53.33
194,Thomas,2:04:00,6/22/15,14.0,14,52.76,-38.76,52.76
195,Thomas,2:05:00,6/22/15,95.0,95,53.08,41.92,53.08
196,Thomas,2:05:00,6/22/15,15.0,15,52.71,-37.71,52.71
197,Thomas,2:05:00,6/22/15,26.0,26,52.85,-26.85,52.85
198,Thomas,2:06:00,6/22/15,99.0,99,53.6,45.4,53.6
199,Thomas,2:06:00,6/22/15,7.0,7,53.35,-46.35,53.35
200,Thomas,2:06:00,6/22/15,23.0,23,53.13,-30.13,53.13
201,Thomas,2:07:00,6/22/15,46.0,46,52.69,-6.69,52.69
202,Thomas,2:07:00,6/22/15,94.0,94,52.75,41.25,52.75
203,Thomas,2:07:00,6/22/15,11.0,11,52.41,-41.41,52.41
204,Thomas,2:08:00,6/22/15,91.0,91,52.35,38.65,52.35
205,Thomas,2:08:00,6/22/15,68.0,68,52.11,15.89,52.11
206,Thomas,2:08:00,6/22/15,32.0,32,51.44,-19.44,51.44
207,Thomas,2:09:00,6/22/15,11.0,11,51.51,-40.51,51.51
208,Thomas,2:09:00,6/22/15,92.0,92,51.64,40.36,51.64
209,Thomas,2:09:00,6/22/15,61.0,61,51.37,9.63,51.37
210,Thomas,2:10:00,6/22/15,50.0,50,51.24,-1.24,51.24
211,Thomas,2:10:00,6/22/15,98.0,98,51.52,46.48,51.52
212,Thomas,2:10:00,6/22/15,45.0,45,51.83,-6.83,51.83
213,Thomas,2:11:00,6/22/15,77.0,77,51.78,25.22,51.78
214,Thomas,2:11:00,6/22/15,39.0,39,51.44,-12.44,51.44
215,Thomas,2:11:00,6/22/15,22.0,22,51.27,-29.27,51.27
216,Thomas,2:12:00,6/22/15,10.0,10,50.51,-40.51,50.51
217,Thomas,2:12:00,6/22/15,50.0,50,50.03,-0.03,50.03
218,Thomas,2:12:00,6/22/15,75.0,75,49.84,25.16,49.84
219,Thomas,2:13:00,6/22/15,88.0,88,49.72,38.28,49.72
220,Thomas,2:13:00,6/22/15,29.0,29,49.41,-20.41,49.41
221,Thomas,2:13:00,6/22/15,33.0,33,49.53,-16.53,49.53
222,Thomas,2:14:00,6/22/15,80.0,80,50.32,29.68,50.32
223,Thomas,2:14:00,6/22/15,47.0,47,49.96,-2.96,49.96
224,Thomas,2:14:00,6/22/15,27.0,27,49.29,-22.29,49.29
225,Thomas,2:15:00,6/22/15,85.0,85,49.8,35.2,49.8
226,Thomas,2:15:00,6/22/15,34.0,34,49.83,-15.83,49.83
227,Thomas,2:15:00,6/22/15,92.0,92,50.65,41.35,50.65
228,Thomas,2:16:00,6/22/15,32.0,32,50.59,-18.59,50.59
229,Thomas,2:16:00,6/22/15,29.0,29,50.8,-21.8,50.8
230,Thomas,2:16:00,6/22/15,10.0,10,50.18,-40.18,50.18
231,Thomas,2:17:00,6/22/15,5.0,5,49.36,-44.36,49.36
232,Thomas,2:17:00,6/22/15,60.0,60,49.93,10.07,49.93
233,Thomas,2:17:00,6/22/15,79.0,79,50.37,28.63,50.37
234,Thomas,2:18:00,6/22/15,55.0,55,49.99,5.01,49.99
235,Thomas,2:18:00,6/22/15,2.0,2,49.47,-47.47,49.47
236,Thomas,2:18:00,6/22/15,58.0,58,49.99,8.01,49.99
237,Thomas,2:19:00,6/22/15,90.0,90,50.04,39.96,50.04
238,Thomas,2:19:00,6/22/15,61.0,61,50.43,10.57,50.43
239,Thomas,2:19:00,6/22/15,43.0,43,50.68,-7.68,50.68
240,Thomas,2:20:00,6/22/15,24.0,24,50.91,-26.91,50.91
241,Thomas,2:20:00,6/22/15,5.0,5,50.8,-45.8,50.8
242,Thomas,2:20:00,6/22/15,58.0,58,51.08,6.92,51.08
243,Thomas,2:21:00,6/22/15,54.0,54,51.14,2.86,51.14
244,Thomas,2:21:00,6/22/15,46.0,46,51.06,-5.06,51.06
245,Thomas,2:21:00,6/22/15,79.0,79,51.5,27.5,51.5
246,Thomas,2:22:00,6/22/15,33.0,33,51.73,-18.73,51.73
247,Thomas,2:22:00,6/22/15,6.0,6,51.27,-45.27,51.27
248,Thomas,2:22:00,6/22/15,84.0,84,51.43,32.57,51.43
249,Thomas,2:23:00,6/22/15,21.0,21,51.55,-30.55,51.55
250,Thomas,2:23:00,6/22/15,65.0,65,51.93,13.07,51.93
251,Thomas,2:23:00,6/22/15,68.0,68,51.69,16.31,51.69
252,Thomas,2:24:00,6/22/15,27.0,27,51.28,-24.28,51.28
253,Thomas,2:24:00,6/22/15,56.0,56,51.41,4.59,51.41
254,Thomas,2:24:00,6/22/15,65.0,65,51.94,13.06,51.94
255,Thomas,2:25:00,6/22/15,75.0,75,51.94,23.06,51.94
256,Thomas,2:25:00,6/22/15,34.0,34,51.59,-17.59,51.59
257,Thomas,2:25:00,6/22/15,40.0,40,51.17,-11.17,51.17
258,Thomas,2:26:00,6/22/15,19.0,19,51.2,-32.2,51.2
259,Thomas,2:26:00,6/22/15,56.0,56,50.76,5.24,50.76
260,Thomas,2:26:00,6/22/15,39.0,39,50.26,-11.26,50.26
261,Thomas,2:27:00,6/22/15,34.0,34,50.1,-16.1,50.1
262,Thomas,2:27:00,6/22/15,32.0,32,49.87,-17.87,49.87
263,Thomas,2:27:00,6/22/15,31.0,31,49.87,-18.87,49.87
264,Thomas,2:28:00,6/22/15,1.0,1,49.58,-48.58,49.58
265,Thomas,2:28:00,6/22/15,85.0,85,50.07,34.93,50.07
266,Thomas,2:28:00,6/22/15,100.0,100,50.57,49.43,50.57
267,Thomas,2:29:00,6/22/15,65.0,65,50.29,14.71,50.29
268,Thomas,2:29:00,6/22/15,54.0,54,49.99,4.01,49.99
269,Thomas,2:29:00,6/22/15,70.0,70,50.14,19.86,50.14
270,Thomas,2:30:00,6/22/15,77.0,77,50.88,26.12,50.88
271,Thomas,2:30:00,6/22/15,49.0,49,51.08,-2.08,51.08
272,Thomas,2:30:00,6/22/15,84.0,84,51.73,32.27,51.73
273,Thomas,2:31:00,6/22/15,6.0,6,51.06,-45.06,51.06
274,Thomas,2:31:00,6/22/15,27.0,27,50.42,-23.42,50.42
275,Thomas,2:31:00,6/22/15,74.0,74,50.9,23.1,50.9
276,Thomas,2:32:00,6/22/15,91.0,91,51.32,39.68,51.32
277,Thomas,2:32:00,6/22/15,99.0,99,51.76,47.24,51.76
278,Thomas,2:32:00,6/22/15,13.0,13,51.49,-38.49,51.49
279,Thomas,2:33:00,6/22/15,100.0,100,52.13,47.87,52.13
280,Thomas,2:33:00,6/22/15,75.0,75,52.31,22.69,52.31
281,Thomas,2:33:00,6/22/15,30.0,30,51.91,-21.91,51.91
282,Thomas,2:34:00,6/22/15,6.0,6,51.17,-45.17,51.17
283,Thomas,2:34:00,6/22/15,46.0,46,51.14,-5.14,51.14
284,Thomas,2:34:00,6/22/15,92.0,92,51.72,40.28,51.72
285,Thomas,2:35:00,6/22/15,28.0,28,51.14,-23.14,51.14
286,Thomas,2:35:00,6/22/15,87.0,87,51.36,35.64,51.36
287,Thomas,2:35:00,6/22/15,85.0,85,51.67,33.33,51.67
288,Thomas,2:36:00,6/22/15,18.0,18,50.85,-32.85,50.85
289,Thomas,2:36:00,6/22/15,20.0,20,50.08,-30.08,50.08
290,Thomas,2:36:00,6/22/15,45.0,45,50.44,-5.44,50.44
291,Thomas,2:37:00,6/22/15,83.0,83,50.45,32.55,50.45
292,Thomas,2:37:00,6/22/15,95.0,95,51.28,43.72,51.28
293,Thomas,2:37:00,6/22/15,81.0,81,51.27,29.73,51.27
294,Thomas,2:38:00,6/22/15,8.0,8,51.21,-43.21,51.21
295,Thomas,2:38:00,6/22/15,84.0,84,51.1,32.9,51.1
296,Thomas,2:38:00,6/22/15,23.0,23,51.18,-28.18,51.18
297,Thomas,2:39:00,6/22/15,67.0,67,51.59,15.41,51.59
298,Thomas,2:39:00,6/22/15,53.0,53,51.13,1.87,51.13
299,Thomas,2:39:00,6/22/15,19.0,19,51.25,-32.25,51.25
300,Thomas,2:40:00,6/22/15,72.0,72,51.74,20.26,51.74
301,Thomas,2:40:00,6/22/15,30.0,30,51.58,-21.58,51.58
302,Thomas,2:40:00,6/22/15,67.0,67,51.31,15.69,51.31
303,Thomas,2:41:00,6/22/15,28.0,28,51.48,-23.48,51.48
304,Thomas,2:41:00,6/22/15,72.0,72,51.29,20.71,51.29
305,Thomas,2:41:00,6/22/15,12.0,12,50.73,-38.73,50.73
306,Thomas,2:42:00,6/22/15,29.0,29,50.7,-21.7,50.7
307,Thomas,2:42:00,6/22/15,7.0,7,50.66,-43.66,50.66
308,Thomas,2:42:00,6/22/15,48.0,48,50.22,-2.22,50.22
309,Thomas,2:43:00,6/22/15,75.0,75,50.36,24.64,50.36
310,Thomas,2:43:00,6/22/15,88.0,88,50.74,37.26,50.74
311,Thomas,2:43:00,6/22/15,84.0,84,50.6,33.4,50.6
312,Thomas,2:44:00,6/22/15,68.0,68,50.83,17.17,50.83
313,Thomas,2:44:00,6/22/15,65.0,65,50.71,14.29,50.71
314,Thomas,2:44:00,6/22/15,27.0,27,50.59,-23.59,50.59
315,Thomas,2:45:00,6/22/15,22.0,22,50.59,-28.59,50.59
316,Thomas,2:45:00,6/22/15,63.0,63,51.12,11.88,51.12
317,Thomas,2:45:00,6/22/15,90.0,90,51.52,38.48,51.52
318,Thomas,2:46:00,6/22/15,49.0,49,51.26,-2.26,51.26
319,Thomas,2:46:00,6/22/15,81.0,81,51.19,29.81,51.19
320,Thomas,2:46:00,6/22/15,75.0,75,51.65,23.35,51.65
321,Thomas,2:47:00,6/22/15,43.0,43,51.75,-8.75,51.75
322,Thomas,2:47:00,6/22/15,98.0,98,51.93,46.07,51.93
323,Thomas,2:47:00,6/22/15,43.0,43,51.89,-8.89,51.89
324,Thomas,2:48:00,6/22/15,15.0,15,51.77,-36.77,51.77
325,Thomas,2:48:00,6/22/15,14.0,14,51.06,-37.06,51.06
326,Thomas,2:48:00,6/22/15,15.0,15,50.87,-35.87,50.87
327,Thomas,2:49:00,6/22/15,67.0,67,50.62,16.38,50.62
328,Thomas,2:49:00,6/22/15,11.0,11,50.41,-39.41,50.41
329,Thomas,2:49:00,6/22/15,78.0,78,50.9,27.1,50.9
330,Thomas,2:50:00,6/22/15,94.0,94,51.74,42.26,51.74
331,Thomas,2:50:00,6/22/15,28.0,28,51.97,-23.97,51.97
332,Thomas,2:50:00,6/22/15,76.0,76,52.13,23.87,52.13
333,Thomas,2:51:00,6/22/15,88.0,88,52.22,35.78,52.22
334,Thomas,2:51:00,6/22/15,47.0,47,52.14,-5.14,52.14
335,Thomas,2:51:00,6/22/15,83.0,83,52.95,30.05,52.95
336,Thomas,2:52:00,6/22/15,5.0,5,52.42,-47.42,52.42
337,Thomas,2:52:00,6/22/15,62.0,62,52.14,9.86,52.14
338,Thomas,2:52:00,6/22/15,21.0,21,51.74,-30.74,51.74
339,Thomas,2:53:00,6/22/15,85.0,85,52.16,32.84,52.16
340,Thomas,2:53:00,6/22/15,14.0,14,52.06,-38.06,52.06
341,Thomas,2:53:00,6/22/15,90.0,90,52.91,37.09,52.91
342,Thomas,2:54:00,6/22/15,10.0,10,52.43,-42.43,52.43
343,Thomas,2:54:00,6/22/15,100.0,100,52.89,47.11,52.89
344,Thomas,2:54:00,6/22/15,5.0,5,52.48,-47.48,52.48
345,Thomas,2:55:00,6/22/15,47.0,47,52.16,-5.16,52.16
346,Thomas,2:55:00,6/22/15,84.0,84,52.67,31.33,52.67
347,Thomas,2:55:00,6/22/15,91.0,91,53.52,37.48,53.52
348,Thomas,2:56:00,6/22/15,85.0,85,53.53,31.47,53.53
349,Thomas,2:56:00,6/22/15,71.0,71,54.03,16.97,54.03
350,Thomas,2:56:00,6/22/15,24.0,24,53.62,-29.62,53.62
351,Thomas,2:57:00,6/22/15,83.0,83,53.77,29.23,53.77
352,Thomas,2:57:00,6/22/15,88.0,88,54.38,33.62,54.38
353,Thomas,2:57:00,6/22/15,6.0,6,53.88,-47.88,53.88
354,Thomas,2:58:00,6/22/15,54.0,54,53.77,0.23,53.77
355,Thomas,2:58:00,6/22/15,92.0,92,53.94,38.06,53.94
356,Thomas,2:58:00,6/22/15,92.0,92,54.52,37.48,54.52
357,Thomas,2:59:00,6/22/15,92.0,92,55.04,36.96,55.04
358,Thomas,2:59:00,6/22/15,14.0,14,54.99,-40.99,54.99
359,Thomas,2:59:00,6/22/15,35.0,35,54.78,-19.78,54.78
360,Thomas,3:00:00,6/22/15,17.0,17,54.56,-37.56,54.56
361,Thomas,3:00:00,6/22/15,86.0,86,55.08,30.92,55.08
362,Thomas,3:00:00,6/22/15,88.0,88,55.64,32.36,55.64
363,Thomas,3:01:00,6/22/15,90.0,90,56.23,33.77,56.23
364,Thomas,3:01:00,6/22/15,10.0,10,56.32,-46.32,56.32
365,Thomas,3:01:00,6/22/15,61.0,61,56.08,4.92,56.08
366,Thomas,3:02:00,6/22/15,25.0,25,55.33,-30.33,55.33
