Name,Time,Date,DataPoint1,DataPoint2
Thomas,,,856,92
Bob,,,878,80
Rick,,,801,25
Thomas,,,355,78
Bob,,,566,30
Rick,,,239,17
Thomas,,,807,88
Bob,,,205,42
Rick,,,614,81
Thomas,,,28,12
Bob,,,16,6
Rick,,,144,12
Thomas,,,683,16
Bob,,,443,91
Rick,,,638,87
Thomas,,,597,12
Bob,,,604,92
Rick,,,549,17
Thomas,,,440,7
Bob,,,329,47
Rick,,,69,12
Thomas,,,679,99
Bob,,,686,86
Rick,,,736,19
Thomas,,,633,64
Bob,,,360,49
Rick,,,253,32
Thomas,,,870,83
Bob,,,479,1
Rick,,,319,75
Thomas,,,980,8
Bob,,,981,88
Rick,,,896,26
Thomas,,,92,88
Bob,,,914,32
Rick,,,364,27
Thomas,,,998,31
Bob,,,154,3
Rick,,,333,82
Thomas,,,203,56
Bob,,,964,21
Rick,,,489,21
Thomas,,,175,19
Bob,,,345,89
Rick,,,198,98
Thomas,,,476,29
Bob,,,466,14
Rick,,,634,60
Thomas,,,422,27
Bob,,,918,53
Rick,,,289,10
Thomas,,,457,54
Bob,,,100,2
Rick,,,945,82
Thomas,,,899,8
Bob,,,182,87
Rick,,,430,62
Thomas,,,249,92
Bob,,,468,58
Rick,,,659,88
Thomas,,,843,26
Bob,,,917,34
Rick,,,309,2
Thomas,,,159,56
Bob,,,468,27
Rick,,,611,57
Thomas,,,877,90
Bob,,,670,77
Rick,,,53,98
Thomas,,,58,72
Bob,,,23,29
Rick,,,218,11
Thomas,,,30,44
Bob,,,942,63
Rick,,,651,38
Thomas,,,709,35
Bob,,,254,5
Rick,,,751,8
Thomas,,,778,100
Bob,,,468,69
Rick,,,185,87
Thomas,,,497,10
Bob,,,942,89
Rick,,,384,88
Thomas,,,996,89
Bob,,,719,99
Rick,,,758,8
Thomas,,,896,25
Bob,,,150,68
Rick,,,117,35
Thomas,,,613,41
Bob,,,348,24
Rick,,,978,16
Thomas,,,998,65
Bob,,,363,79
Rick,,,305,30
Thomas,,,842,41
Bob,,,351,29
Rick,,,764,25
Thomas,,,18,88
Bob,,,820,9
Rick,,,689,33
Thomas,,,460,45
Bob,,,470,39
Rick,,,172,21
Thomas,,,233,79
Bob,,,793,36
Rick,,,692,55
Thomas,,,783,53
Bob,,,840,42
Rick,,,101,42
Thomas,,,336,26
Bob,,,70,89
Rick,,,736,96
Thomas,,,816,82
Bob,,,530,64
Rick,,,892,85
Thomas,,,109,97
Bob,,,43,89
Rick,,,19,91
Thomas,,,258,87
Bob,,,432,19
Rick,,,297,67
Thomas,,,1000,97
Bob,,,767,27
Rick,,,698,26
Thomas,,,357,28
Bob,,,102,57
Rick,,,894,62
Thomas,,,500,66
Bob,,,783,35
Rick,,,163,19
Thomas,,,794,96
Bob,,,125,95
Rick,,,833,11
Thomas,,,389,74
Bob,,,392,76
Rick,,,693,78
Thomas,,,544,88
Bob,,,88,57
Rick,,,864,48
Thomas,,,205,20
Bob,,,610,54
Rick,,,436,71
Thomas,,,693,20
Bob,,,491,58
Rick,,,510,41
Thomas,,,154,75
Bob,,,505,4
Rick,,,719,93
Thomas,,,308,23
Bob,,,473,100
Rick,,,205,73
Thomas,,,106,1
Bob,,,202,55
Rick,,,511,42
Thomas,,,351,55
Bob,,,956,74
Rick,,,135,48
Thomas,,,927,73
Bob,,,495,88
Rick,,,671,80
Thomas,,,690,26
Bob,,,530,45
Rick,,,872,97
Thomas,,,148,43
Bob,,,379,34
Rick,,,842,51
Thomas,,,406,27
Bob,,,322,93
Rick,,,898,69
Thomas,,,242,50
Bob,,,703,22
Rick,,,541,68
Thomas,,,221,26
Bob,,,84,67
Rick,,,507,38
Thomas,,,38,30
Bob,,,500,86
Rick,,,614,48
Thomas,,,224,97
Bob,,,646,65
Rick,,,273,93
Thomas,,,328,20
Bob,,,786,30
Rick,,,893,65
Thomas,,,48,71
Bob,,,570,48
Rick,,,298,49
Thomas,,,930,86
Bob,,,691,35
Rick,,,323,70
Thomas,,,459,4
Bob,,,509,96
Rick,,,268,38
Thomas,,,693,6
Bob,,,56,95
Rick,,,586,46
Thomas,,,526,18
Bob,,,369,14
Rick,,,332,31
Thomas,,,557,89
Bob,,,435,73
Rick,,,611,82
Thomas,,,167,50
Bob,,,749,49
Rick,,,149,44
Thomas,,,417,96
Bob,,,259,45
Rick,,,835,14
Thomas,,,344,61
Bob,,,949,9
Rick,,,193,67
Thomas,,,716,81
Bob,,,388,92
Rick,,,735,15
Thomas,,,132,49
Bob,,,156,96
Rick,,,924,18
Thomas,,,998,3
Bob,,,908,52
Rick,,,838,32
Thomas,,,11,50
Bob,,,698,78
Rick,,,869,17
Thomas,,,694,32
Bob,,,401,55
Rick,,,300,13
Thomas,,,634,24
Bob,,,931,61
Rick,,,49,43
Thomas,,,290,70
Bob,,,897,63
Rick,,,19,14
Thomas,,,856,71
Bob,,,569,97
Rick,,,746,85
Thomas,,,413,80
Bob,,,522,29
Rick,,,700,31
Thomas,,,76,11
Bob,,,37,14
Rick,,,830,88
Thomas,,,287,84
Bob,,,170,6
Rick,,,381,61
Thomas,,,701,61
Bob,,,531,82
Rick,,,790,75
Thomas,,,250,73
Bob,,,982,55
Rick,,,46,83
Thomas,,,487,15
Bob,,,6,89
Rick,,,230,74
Thomas,,,256,6
Bob,,,619,95
Rick,,,737,54
Thomas,,,953,11
Bob,,,932,86
Rick,,,968,79
Thomas,,,582,16
Bob,,,769,49
Rick,,,915,62
Thomas,,,106,84
Bob,,,591,53
Rick,,,74,10
Thomas,,,803,32
Bob,,,248,63
Rick,,,775,67
Thomas,,,523,42
Bob,,,79,7
Rick,,,274,78
Thomas,,,378,58
Bob,,,614,78
Rick,,,646,32
Thomas,,,276,2
Bob,,,814,42
Rick,,,204,58
Thomas,,,539,32
Bob,,,501,82
Rick,,,754,71
Thomas,,,168,30
Bob,,,588,4
Rick,,,470,99
Thomas,,,331,48
Bob,,,182,81
Rick,,,265,59
Thomas,,,613,95
Bob,,,883,84
Rick,,,808,50
Thomas,,,230,87
Bob,,,812,16
Rick,,,60,99
Thomas,,,159,100
Bob,,,94,76
Rick,,,421,54
Thomas,,,98,71
Bob,,,523,89
Rick,,,438,15
Thomas,,,508,61
Bob,,,425,76
Rick,,,507,74
Thomas,,,77,4
Bob,,,633,49
Rick,,,233,58
Thomas,,,110,42
Bob,,,140,8
Rick,,,548,3
Thomas,,,869,1
Bob,,,693,32
Rick,,,510,6
Thomas,,,887,30
Bob,,,320,39
Rick,,,305,76
Thomas,,,93,75
Bob,,,501,29
Rick,,,96,47
Thomas,,,184,66
Bob,,,862,48
Rick,,,353,10
Thomas,,,600,60
Bob,,,952,75
Rick,,,460,63
Thomas,,,224,49
Bob,,,998,64
Rick,,,158,97
Thomas,,,265,22
Bob,,,797,9
Rick,,,777,4
Thomas,,,795,36
Bob,,,31,14
Rick,,,58,92
Thomas,,,377,88
Bob,,,728,4
Rick,,,12,46
Thomas,,,469,17
Bob,,,127,40
Rick,,,36,54
Thomas,,,217,24
Bob,,,259,56
Rick,,,260,37
Thomas,,,3,59
Bob,,,658,83
Rick,,,343,59
Thomas,,,951,44
Bob,,,117,67
Rick,,,719,5
Thomas,,,561,7
Bob,,,267,58
Rick,,,883,34
Thomas,,,79,33
Bob,,,883,33
Rick,,,543,4
Thomas,,,55,34
Bob,,,906,59
Rick,,,827,32
Thomas,,,163,39
Bob,,,804,78
Rick,,,93,42
Thomas,,,122,99
Bob,,,754,18
Rick,,,755,13
Thomas,,,676,56
Bob,,,896,20
Rick,,,333,30
Thomas,,,318,99
Bob,,,391,21
Rick,,,116,30
Thomas,,,656,77
Bob,,,275,12
Rick,,,887,38
Thomas,,,360,96
Bob,,,498,70
Rick,,,603,89
Thomas,,,715,14
Bob,,,993,21
Rick,,,410,90
Thomas,,,159,3
Bob,,,853,96
Rick,,,514,59
Thomas,,,527,56
Bob,,,797,46
Rick,,,135,94
Thomas,,,864,92
Bob,,,71,97
Rick,,,739,85
Thomas,,,23,71
Bob,,,593,94
Rick,,,164,5
Thomas,,,453,6
Bob,,,448,97
Rick,,,778,79
Thomas,,,851,24
Bob,,,975,11
Rick,,,482,16
Thomas,,,44,86
Bob,,,553,38
Rick,,,223,59
Thomas,,,417,39
Bob,,,184,2
Rick,,,563,50
Thomas,,,984,2
Bob,,,966,43
Rick,,,559,19
Thomas,,,83,77
Bob,,,957,26
Rick,,,790,56
Thomas,,,26,69
Bob,,,626,73
Rick,,,119,47
Thomas,,,121,5
Bob,,,929,34
Rick,,,409,47
Thomas,,,516,16
Bob,,,464,88
Rick,,,956,99
Thomas,,,700,67
Bob,,,58,42
Rick,,,302,86
Thomas,,,435,46
Bob,,,357,46
Rick,,,513,94
Thomas,,,320,17
Bob,,,301,90
Rick,,,224,86
Thomas,,,535,60
Bob,,,149,98
Rick,,,671,83
Thomas,,,825,30
Bob,,,871,96
Rick,,,178,84
Thomas,,,350,76
Bob,,,578,12
Rick,,,756,44
Thomas,,,860,74
Bob,,,764,62
Rick,,,733,1
Thomas,,,653,27
Bob,,,503,85
Rick,,,811,26
Thomas,,,180,61
Bob,,,507,18
Rick,,,817,48
Thomas,,,957,41
Bob,,,32,97
Rick,,,177,85
Thomas,,,815,15
Bob,,,512,91
Rick,,,5,26
Thomas,,,778,16
Bob,,,433,45
Rick,,,90,32
Thomas,,,237,87
Bob,,,123,6
Rick,,,956,43
Thomas,,,178,72
Bob,,,243,53
Rick,,,335,3
Thomas,,,43,5
Bob,,,410,84
Rick,,,940,23
Thomas,,,243,13
Bob,,,608,67
Rick,,,610,28
Thomas,,,422,21
Bob,,,839,77
Rick,,,548,47
Thomas,,,333,5
Bob,,,952,37
Rick,,,370,46
Thomas,,,344,17
Bob,,,222,57
Rick,,,220,38
Thomas,,,381,94
Bob,,,168,90
Rick,,,781,19
Thomas,,,808,72
Bob,,,311,46
Rick,,,99,85
Thomas,,,65,75
Bob,,,523,64
Rick,,,781,49
Thomas,,,35,36
Bob,,,879,9
Rick,,,242,37
Thomas,,,635,99
Bob,,,103,80
Rick,,,826,92
Thomas,,,668,56
Bob,,,184,3
Rick,,,147,4
Thomas,,,335,33
Bob,,,271,21
Rick,,,903,49
Thomas,,,698,8
Bob,,,486,32
Rick,,,945,21
Thomas,,,694,92
Bob,,,721,88
Rick,,,78,31
Thomas,,,359,23
Bob,,,977,59
Rick,,,75,12
Thomas,,,263,94
Bob,,,610,15
Rick,,,320,55
Thomas,,,225,85
Bob,,,970,33
Rick,,,539,45
Thomas,,,669,30
Bob,,,915,97
Rick,,,857,1
Thomas,,,700,10
Bob,,,316,80
Rick,,,789,75
Thomas,,,365,83
Bob,,,904,51
Rick,,,106,71
Thomas,,,914,60
Bob,,,631,99
Rick,,,685,57
Thomas,,,175,31
Bob,,,975,42
Rick,,,238,50
Thomas,,,31,82
Bob,,,838,82
Rick,,,34,96
Thomas,,,391,68
Bob,,,316,85
Rick,,,217,62
Thomas,,,159,71
Bob,,,215,36
Rick,,,9,94
Thomas,,,724,74
Bob,,,143,92
Rick,,,339,99
Thomas,,,670,100
Bob,,,70,30
Rick,,,624,75
Thomas,,,963,80
Bob,,,990,56
Rick,,,895,62
Thomas,,,852,63
Bob,,,266,11
Rick,,,452,20
Thomas,,,940,18
Bob,,,989,52
Rick,,,177,72
Thomas,,,716,90
Bob,,,769,61
Rick,,,927,61
Thomas,,,778,79
Bob,,,353,2
Rick,,,999,75
Thomas,,,566,98
Bob,,,538,18
Rick,,,102,97
Thomas,,,256,69
Bob,,,192,4
Rick,,,320,80
Thomas,,,202,48
Bob,,,946,16
Rick,,,114,17
Thomas,,,226,97
Bob,,,694,60
Rick,,,218,21
Thomas,,,371,92
Bob,,,447,48
Rick,,,437,65
Thomas,,,803,84
Bob,,,120,12
Rick,,,571,52
Thomas,,,130,60
Bob,,,693,3
Rick,,,25,75
Thomas,,,375,65
Bob,,,207,33
Rick,,,351,66
Thomas,,,733,78
Bob,,,918,84
Rick,,,603,66
Thomas,,,907,64
Bob,,,902,40
Rick,,,90,53
Thomas,,,485,44
Bob,,,363,10
Rick,,,685,57
Thomas,,,770,38
Bob,,,979,75
Rick,,,970,61
Thomas,,,890,38
Bob,,,819,25
Rick,,,517,36
Thomas,,,419,6
Bob,,,98,16
Rick,,,707,73
Thomas,,,473,20
Bob,,,399,6
Rick,,,496,20
Thomas,,,844,4
Bob,,,559,42
Rick,,,975,80
Thomas,,,417,3
Bob,,,690,83
Rick,,,207,14
Thomas,,,522,75
Bob,,,738,41
Rick,,,36,85
Thomas,,,26,2
Bob,,,987,17
Rick,,,516,77
Thomas,,,97,97
Bob,,,79,65
Rick,,,421,99
Thomas,,,33,15
Bob,,,601,46
Rick,,,962,74
Thomas,,,930,84
Bob,,,646,27
Rick,,,458,40
Thomas,,,990,3
Bob,,,145,19
Rick,,,809,94
Thomas,,,494,73
Bob,,,864,25
Rick,,,160,47
Thomas,,,367,88
Bob,,,556,30
Rick,,,161,95
Thomas,,,907,51
Bob,,,784,57
Rick,,,483,4
Thomas,,,511,57
Bob,,,916,27
Rick,,,640,37
Thomas,,,282,64
Bob,,,748,42
Rick,,,437,49
Thomas,,,842,1
Bob,,,929,86
Rick,,,148,86
Thomas,,,454,37
Bob,,,680,95
Rick,,,637,33
Thomas,,,151,84
Bob,,,950,16
Rick,,,517,10
Thomas,,,52,74
Bob,,,604,28
Rick,,,691,98
Thomas,,,897,14
Bob,,,976,12
Rick,,,262,78
Thomas,,,647,19
Bob,,,200,36
Rick,,,40,5
Thomas,,,472,60
Bob,,,537,80
Rick,,,477,95
Thomas,,,518,30
Bob,,,588,80
Rick,,,172,22
Thomas,,,119,40
Bob,,,296,89
Rick,,,109,86
Thomas,,,571,89
Bob,,,642,85
Rick,,,434,42
Thomas,,,365,93
Bob,,,539,29
Rick,,,968,39
Thomas,,,580,45
Bob,,,634,89
Rick,,,838,43
Thomas,,,314,60
Bob,,,890,8
Rick,,,114,98
Thomas,,,667,75
Bob,,,528,44
Rick,,,444,85
Thomas,,,444,72
Bob,,,655,29
Rick,,,186,1
Thomas,,,267,59
Bob,,,172,48
Rick,,,852,71
Thomas,,,179,3
Bob,,,186,73
Rick,,,724,65
Thomas,,,830,54
Bob,,,518,41
Rick,,,666,54
Thomas,,,740,28
Bob,,,764,11
Rick,,,780,50
Thomas,,,254,10
Bob,,,210,5
Rick,,,753,44
Thomas,,,243,11
Bob,,,896,39
Rick,,,977,53
Thomas,,,175,69
Bob,,,823,62
Rick,,,21,22
Thomas,,,9,52
Bob,,,422,72
Rick,,,631,48
Thomas,,,936,23
Bob,,,150,28
Rick,,,196,10
Thomas,,,918,41
Bob,,,369,35
Rick,,,214,80
Thomas,,,744,29
Bob,,,972,54
Rick,,,397,28
Thomas,,,481,68
Bob,,,521,42
Rick,,,283,99
Thomas,,,692,58
Bob,,,936,14
Rick,,,793,37
Thomas,,,410,47
Bob,,,168,22
Rick,,,777,65
Thomas,,,367,53
Bob,,,960,58
Rick,,,487,52
Thomas,,,947,63
Bob,,,833,5
Rick,,,234,36
Thomas,,,902,51
Bob,,,299,29
Rick,,,43,96
Thomas,,,987,45
Bob,,,383,79
Rick,,,942,90
Thomas,,,789,24
