Reporting Area,MMWR YEAR,MMWR WEEK,"All causes, by age (years), All Ages","All causes, by age (years), All Ages, flag","All causes, by age (years), GE 65","All causes, by age (years), GE 65, flag","All causes, by age (years), 45–64","All causes, by age (years), 45–64, flag","All causes, by age (years), 25–44","All causes, by age (years), 25–44, flag","All causes, by age (years), 1–24","All causes, by age (years), 1–24, flag","All causes, by age (years), LT 1","All causes, by age (years), LT 1, flag",P&I† Total,"P&I† Total, flag",Location 1,Location 2
"Pasadena, CA",2014,27,16,,16,,,-,,-,,-,,-,2,,"Pasadena, CA
(34.14745120700047, -118.14426554199969)",
"Portland, OR",2014,27,75,,49,,21,,2,,3,,,-,5,,"Portland, OR
(45.51178871100046, -122.6756275729997)",
"Sacramento, CA",2014,27,209,,153,,42,,9,,2,,3,,10,,"Sacramento, CA
(38.5793341750005, -121.49089596399972)",
"San Diego, CA",2014,27,134,,96,,23,,11,,3,,1,,7,,"San Diego, CA
(32.71569228000044, -117.16171662299968)",
"San Francisco, CA",2014,27,86,,60,,18,,4,,1,,3,,3,,"San Francisco, CA
(37.777123997000444, -122.4196366869997)",
"San Jose, CA",2014,27,176,,136,,33,,6,,1,,,-,11,,"San Jose, CA
(37.33858362500047, -121.8855697949997)",
"Santa Cruz, CA",2014,27,29,,22,,5,,2,,,-,,-,5,,"Santa Cruz, CA
(36.974020590000464, -122.03094750099973)",
"Seattle, WA",2014,27,89,,53,,26,,8,,1,,1,,4,,"Seattle, WA
(47.60356894300048, -122.32944721899969)",
"Spokane, WA",2014,27,53,,38,,11,,3,,1,,,-,2,,"Spokane, WA
(47.65725655300048, -117.41227666799972)",
"Tacoma, WA",2014,27,131,,101,,20,,5,,5,,,-,9,,"Tacoma, WA
(47.255128716000456, -122.44163694999969)",
Total¶,2014,27,9246,,6223,,2129,,504,,215,,173,,530,,,
New England,2014,28,519,,359,,115,,27,,5,,10,,43,,,
"Boston, MA",2014,28,136,,91,,33,,8,,2,,2,,11,,"Boston, MA
(42.35866324500046, -71.05673887699965)",
"Bridgeport, CT",2014,28,24,,13,,8,,2,,1,,,-,,-,"Bridgeport, CT
(41.1818813860005, -73.19126911399962)",
"Cambridge, MA",2014,28,14,,13,,1,,,-,,-,,-,3,,"Cambridge, MA
(42.366791640000486, -71.10600946299962)",
"Fall River, MA",2014,28,22,,14,,4,,1,,,-,,-,2,,"Fall River, MA
(41.69735122300045, -71.14364572399967)",
"Hartford, CT",2014,28,49,,31,,12,,2,,1,,3,,3,,"Hartford, CT
(41.76349046400048, -72.67401728199962)",
"Lowell, MA",2014,28,28,,21,,3,,4,,,-,,-,3,,"Lowell, MA
(42.64588146300048, -71.31283694999962)",
"Lynn, MA",2014,28,14,,10,,4,,,-,,-,,-,1,,"Lynn, MA
(42.46370266800045, -70.95021669199963)",
"New Bedford, MA",2014,28,21,,14,,7,,,-,,-,,-,1,,"New Bedford, MA
(41.637670036000486, -70.93086932199964)",
"New Haven, CT",2014,28,40,,22,,12,,4,,1,,1,,5,,"New Haven, CT
(41.307621422000466, -72.92461752399964)",
"Providence, RI",2014,28,41,,38,,1,,2,,,-,,-,,-,"Providence, RI
(41.823872836000476, -71.41198998599964)",
"Somerville, MA",2014,28,5,,2,,2,,1,,,-,,-,,-,"Somerville, MA
(42.386683880000476, -71.09825622299962)",
"Springfield, MA",2014,28,29,,20,,8,,1,,,-,,-,2,,"Springfield, MA
(42.10125212200046, -72.58928991799962)",
"Waterbury, CT",2014,28,29,,23,,5,,,-,,-,1,,2,,"Waterbury, CT
(41.55407260800047, -73.04616830899965)",
"Worcester, MA",2014,28,67,,47,,15,,2,,,-,3,,10,,"Worcester, MA
(42.2634136260005, -71.80218873199965)",
Mid. Atlantic,2014,28,1622,,1166,,331,,87,,27,,11,,66,,,
"Albany, NY",2014,28,40,,36,,2,,2,,,-,,-,1,,"Albany, NY
(42.65155347600046, -73.75520562899965)",
"Allentown, PA",2014,28,33,,24,,6,,3,,,-,,-,2,,"Allentown, PA
(40.602603640000495, -75.47025702899964)",
"Buffalo, NY",2014,28,79,,48,,20,,4,,4,,3,,4,,"Buffalo, NY
(42.88544137700046, -78.87845781999965)",
"Camden, NJ",2014,28,25,,18,,5,,2,,,-,,-,2,,"Camden, NJ
(39.94525309400046, -75.11912817799964)",
"Elizabeth, NJ",2014,28,27,,15,,8,,4,,,-,,-,2,,"Elizabeth, NJ
(40.6638122490005, -74.21143642799967)",
"Erie, PA",2014,28,50,,38,,9,,3,,,-,,-,1,,"Erie, PA
(42.12944247200045, -80.08523881899964)",
"Jersey City, NJ",2014,28,21,,12,,5,,3,,1,,,-,2,,"Jersey City, NJ
(40.71748199500047, -74.04384854999967)",
"New York City, NY",2014,28,869,,627,,180,,37,,18,,7,,33,,"New York City, NY
(40.71455220000047, -74.00711891899965)",
"Newark, NJ",2014,28,35,,20,,9,,5,,1,,,-,2,,"Newark, NJ
(40.73197019100047, -74.17420658799966)",
"Paterson, NJ",2014,28,17,,9,,5,,2,,,-,1,,,-,"Paterson, NJ
(40.91661430200048, -74.17163854999967)",
"Philadelphia, PA",2014,28,,U,,U,,U,,U,,U,,U,,U,"Philadelphia, PA
(39.95228281700048, -75.16244984999963)",
"Pittsburgh, PA§",2014,28,41,,33,,5,,3,,,-,,-,1,,"Pittsburgh, PA
(40.438343044000476, -79.99746553899968)",
"Reading, PA",2014,28,34,,22,,7,,4,,1,,,-,1,,"Reading, PA
(40.3366219720005, -75.92783660599963)",
"Rochester, NY",2014,28,166,,129,,30,,7,,,-,,-,7,,"Rochester, NY
(43.155804340000486, -77.61631886899966)",
"Schenectady, NY",2014,28,23,,14,,6,,3,,,-,,-,2,,"Schenectady, NY
(42.8122500820005, -73.94101987199963)",
"Scranton, PA",2014,28,20,,14,,3,,2,,1,,,-,,-,"Scranton, PA
(41.41015086800047, -75.66077859599966)",
"Syracuse, NY",2014,28,85,,70,,13,,1,,1,,,-,5,,"Syracuse, NY
(43.0499922730005, -76.14738815999965)",
"Trenton, NJ",2014,28,26,,16,,9,,1,,,-,,-,,-,"Trenton, NJ
(40.21788039500046, -74.75939751899966)",
"Utica, NY",2014,28,11,,8,,3,,,-,,-,,-,1,,"Utica, NY
(43.09589091300046, -75.24257707799967)",
"Yonkers, NY",2014,28,20,,13,,6,,1,,,-,,-,,-,"Yonkers, NY
(40.93299168200048, -73.89873881399967)",
E.N. Central,2014,28,1856,,1246,,414,,113,,50,,33,,105,,,
"Akron, OH",2014,28,51,,34,,13,,2,,,-,2,,4,,"Akron, OH
(41.084193248000474, -81.51405901999965)",
"Canton, OH",2014,28,22,,15,,6,,1,,,-,,-,,-,"Canton, OH
(40.79781020000047, -81.37156644799967)",
"Chicago, IL",2014,28,264,,159,,66,,21,,16,,2,,15,,"Chicago, IL
(41.88425074000048, -87.63244574499964)",
"Cincinnati, OH",2014,28,75,,42,,22,,9,,,-,2,,2,,"Cincinnati, OH
(39.1071305910005, -84.50412975199964)",
"Cleveland, OH",2014,28,225,,164,,42,,12,,3,,4,,12,,"Cleveland, OH
(41.50475289400049, -81.69071765199965)",
"Columbus, OH",2014,28,200,,135,,51,,4,,4,,6,,8,,"Columbus, OH
(39.961992230000476, -83.00274798399965)",
"Dayton, OH",2014,28,123,,87,,25,,7,,2,,2,,6,,"Dayton, OH
(39.759112821000485, -84.19443785699968)",
"Detroit, MI",2014,28,99,,55,,24,,10,,4,,6,,5,,"Detroit, MI
(42.33168322200049, -83.04799903299966)",
"Evansville, IN",2014,28,42,,36,,6,,,-,,-,,-,3,,"Evansville, IN
(37.977082544000496, -87.56404663099966)",
"Fort Wayne, IN",2014,28,70,,55,,9,,3,,2,,1,,10,,"Fort Wayne, IN
(41.080263035000485, -85.13830990099967)",
"Gary, IN",2014,28,10,,4,,2,,1,,3,,,-,,-,"Gary, IN
(41.6037138850005, -87.33716612199964)",
"Grand Rapids, MI",2014,28,55,,42,,11,,2,,,-,,-,3,,"Grand Rapids, MI
(42.96641270800046, -85.67117986599965)",
"Indianapolis, IN",2014,28,158,,100,,41,,12,,5,,,-,10,,"Indianapolis, IN
(39.76691072200049, -86.14995579899966)",
"Lansing, MI",2014,28,50,,35,,9,,4,,1,,1,,5,,"Lansing, MI
(42.73194420800047, -84.55224806999968)",
"Milwaukee, WI",2014,28,57,,23,,19,,11,,3,,1,,,-,"Milwaukee, WI
(43.04181028200048, -87.90683717599967)",
"Peoria, IL",2014,28,72,,50,,13,,7,,,-,2,,9,,"Peoria, IL
(40.69214105000049, -89.58775824399964)",
"Rockford, IL",2014,28,62,,44,,11,,4,,2,,1,,5,,"Rockford, IL
(42.2669016910005, -89.07834897499964)",
"South Bend, IN",2014,28,48,,41,,4,,1,,1,,1,,4,,"South Bend, IN
(41.67905339900045, -86.25403946499966)",
"Toledo, OH",2014,28,98,,69,,24,,1,,3,,1,,3,,"Toledo, OH
(41.65381070900048, -83.53625660699964)",
"Youngstown, OH",2014,28,75,,56,,16,,1,,1,,1,,1,,"Youngstown, OH
(41.09810084600048, -80.65078761499967)",
W.N. Central,2014,28,737,,443,,223,,41,,15,,15,,40,,,
"Des Moines, IA",2014,28,,-,,-,,-,,-,,-,,-,,-,"Des Moines, IA
(41.589761626000495, -93.61564652299967)",
"Duluth, MN",2014,28,28,,24,,3,,1,,,-,,-,2,,"Duluth, MN
(46.787955844000464, -92.09984801699966)",
"Kansas City, KS",2014,28,22,,12,,6,,2,,2,,,-,1,,"Kansas City, KS
(39.113521653000475, -94.6268190079997)",
"Kansas City, MO",2014,28,113,,77,,25,,5,,1,,5,,4,,"Kansas City, MO
(39.1029502720005, -94.5830775179997)",
"Lincoln, NC",2014,28,46,,32,,11,,1,,2,,,-,1,,"Lincoln, NC
(35.486046210000495, -81.22400479399965)",
"Minneapolis, MN",2014,28,82,,40,,33,,5,,1,,3,,13,,"Minneapolis, MN
(44.9790304010005, -93.26492855899966)",
"Omaha, NE",2014,28,102,,65,,29,,5,,1,,2,,6,,"Omaha, NE
(41.260691100000486, -95.94058667399969)",
"St. Louis, MO",2014,28,192,,101,,68,,15,,5,,3,,7,,"St. Louis, MO
(38.6277517260005, -90.19955850799965)",
"St. Paul, MN",2014,28,48,,36,,10,,2,,,-,,-,2,,"St. Paul, MN
(44.94382372600046, -93.09331667699968)",
"Wichita, KS",2014,28,104,,56,,38,,5,,3,,2,,4,,"Wichita, KS
(37.686983657000496, -97.33557577399966)",
S. Atlantic,2014,28,1216,,721,,335,,106,,31,,23,,68,,,
"Atlanta, GA",2014,28,102,,53,,34,,14,,1,,,-,4,,"Atlanta, GA
(33.748311225000464, -84.39110931499965)",
"Baltimore, MD",2014,28,169,,89,,55,,16,,5,,4,,14,,"Baltimore, MD
(39.29058224000045, -76.60925970899967)",
"Charlotte, NC",2014,28,155,,91,,36,,17,,8,,3,,9,,"Charlotte, NC
(35.22286035400049, -80.83795956899968)",
"Jacksonville, FL",2014,28,174,,112,,49,,8,,3,,2,,11,,"Jacksonville, FL
(30.33147289700048, -81.65621662999968)",
"Miami, FL",2014,28,66,,51,,11,,3,,1,,,-,2,,"Miami, FL
(25.774810115000435, -80.19772778299966)",
"Norfolk, VA",2014,28,60,,27,,14,,14,,4,,1,,,-,"Norfolk, VA
(36.84682012200045, -76.28505728799968)",
"Richmond, VA",2014,28,81,,43,,24,,8,,3,,3,,4,,"Richmond, VA
(37.540703789000474, -77.43364879599966)",
"Savannah, GA",2014,28,74,,48,,20,,4,,1,,1,,3,,"Savannah, GA
(32.08091366600047, -81.09118590699967)",
"St. Petersburg, FL",2014,28,79,,56,,19,,1,,,-,3,,4,,"St. Petersburg, FL
(27.771193346000473, -82.63875661699967)",
"Tampa, FL",2014,28,115,,73,,33,,7,,,-,2,,9,,"Tampa, FL
(27.94653446400048, -82.45926644299965)",
"Washington, D.C.",2014,28,130,,71,,38,,13,,4,,4,,8,,"Washington, D.C.
(38.89037038100048, -77.03195864199967)",
"Wilmington, DE",2014,28,11,,7,,2,,1,,1,,,-,,-,"Wilmington, DE
(39.740234398000496, -75.55083980499967)",
E.S. Central,2014,28,1000,,650,,256,,60,,16,,18,,50,,,
"Birmingham, AL",2014,28,206,,136,,47,,13,,4,,6,,11,,"Birmingham, AL
(33.52068040300048, -86.81175909799964)",
"Chattanooga, TN",2014,28,112,,76,,27,,6,,1,,2,,5,,"Chattanooga, TN
(35.04644289300046, -85.30945730199966)",
"Knoxville, TN",2014,28,101,,64,,26,,7,,2,,2,,7,,"Knoxville, TN
(35.96049444300047, -83.92090839299965)",
"Lexington, KY",2014,28,89,,58,,22,,7,,1,,1,,,-,"Lexington, KY
(38.04859009900048, -84.50031565799964)",
"Memphis, TN",2014,28,181,,109,,59,,9,,3,,1,,15,,"Memphis, TN
(35.14976284800048, -90.04924570399965)",
"Mobile, AL",2014,28,96,,70,,23,,3,,,-,,-,5,,"Mobile, AL
(30.68639351000047, -88.05323763099966)",
"Montgomery, AL",2014,28,50,,30,,13,,5,,1,,1,,1,,"Montgomery, AL
(32.38012350200046, -86.30062589499965)",
"Nashville, TN",2014,28,165,,107,,39,,10,,4,,5,,6,,"Nashville, TN
(36.16784000400048, -86.77815577199965)",
W.S. Central,2014,28,1474,,944,,390,,82,,32,,26,,68,,,
"Austin, TX",2014,28,105,,69,,25,,5,,2,,4,,7,,"Austin, TX
(30.267593529000465, -97.74298706799965)",
"Baton Rouge, LA",2014,28,111,,70,,32,,4,,3,,2,,4,,"Baton Rouge, LA
(30.44334106600047, -91.18698893099969)",
"Corpus Christi, TX",2014,28,59,,34,,20,,2,,1,,2,,7,,"Corpus Christi, TX
(27.796413705000475, -97.40355953599965)",
"Dallas, TX",2014,28,228,,132,,64,,20,,5,,7,,6,,"Dallas, TX
(32.778151412000454, -96.79539918599966)",
"El Paso, TX",2014,28,86,,59,,18,,7,,1,,1,,4,,"El Paso, TX
(31.75916316000047, -106.4874888869997)",
"Fort Worth, TX",2014,28,,U,,U,,U,,U,,U,,U,,U,"Fort Worth, TX
(32.75095254800044, -97.33085951799967)",
"Houston, TX",2014,28,329,,200,,97,,16,,12,,4,,14,,"Houston, TX
(29.760453065000434, -95.36977674999969)",
"Little Rock, AR",2014,28,45,,29,,12,,4,,,-,,-,1,,"Little Rock, AR
(34.74865329300047, -92.27448794899965)",
"New Orleans, LA",2014,28,59,,40,,16,,3,,,-,,-,2,,"New Orleans, LA
(29.95370345100048, -90.07774868499968)",
"San Antonio, TX",2014,28,265,,180,,62,,14,,5,,4,,12,,"San Antonio, TX
(29.42458058800048, -98.49460914499969)",
"Shreveport, LA",2014,28,82,,54,,20,,5,,2,,1,,4,,"Shreveport, LA
(32.514612729000476, -93.74726848099965)",
"Tulsa, OK",2014,28,105,,77,,24,,2,,1,,1,,7,,"Tulsa, OK
(36.149743157000444, -95.99332745899966)",
Mountain,2014,28,1165,,802,,249,,77,,22,,15,,57,,,
"Albuquerque, NM",2014,28,133,,103,,20,,9,,1,,,-,10,,"Albuquerque, NM
(35.08423100300047, -106.64904746099967)",
"Boise, ID",2014,28,60,,41,,11,,4,,2,,2,,3,,"Boise, ID
(43.60698392100045, -116.1934057949997)",
"Colorado Springs, CO",2014,28,96,,65,,19,,8,,4,,,-,3,,"Colorado Springs, CO
(38.83343141300048, -104.82180632899968)",
"Denver, CO",2014,28,68,,45,,17,,5,,,-,1,,2,,"Denver, CO
(39.74001109000045, -104.9922972059997)",
"Las Vegas, NV",2014,28,302,,208,,64,,18,,8,,4,,24,,"Las Vegas, NV
(36.17191313400048, -115.13996564999968)",
"Ogden, UT",2014,28,36,,25,,11,,,-,,-,,-,1,,"Ogden, UT
(41.222362586000486, -111.97047620299969)",
"Phoenix, AZ",2014,28,152,,80,,52,,13,,3,,4,,8,,"Phoenix, AZ
(33.44825282000045, -112.07579699399969)",
"Pueblo, CO",2014,28,36,,22,,13,,1,,,-,,-,2,,"Pueblo, CO
(38.263863080000476, -104.61236614299969)",
"Salt Lake City, UT",2014,28,141,,101,,23,,12,,3,,2,,4,,"Salt Lake City, UT
(40.66726905100046, -111.92357267799969)",
"Tucson, AZ",2014,28,141,,112,,19,,7,,1,,2,,,-,"Tucson, AZ
(32.22155278400044, -110.96975897999971)",
Pacific,2014,28,1864,,1313,,402,,92,,31,,26,,113,,,
"Berkeley, CA",2014,28,16,,14,,2,,,-,,-,,-,1,,"Berkeley, CA
(37.86988150300044, -122.2705386769997)",
"Fresno, CA",2014,28,127,,84,,31,,9,,3,,,-,12,,"Fresno, CA
(36.74068202600046, -119.78572815899969)",
"Glendale, CA",2014,28,24,,18,,4,,1,,,-,1,,1,,"Glendale, CA
(34.146330203000446, -118.24863950799971)",
"Honolulu, HI",2014,28,88,,64,,19,,2,,2,,1,,8,,"Honolulu, HI
(21.304853205000427, -157.85774691599974)",
"Long Beach, CA",2014,28,66,,48,,12,,,-,3,,3,,9,,"Long Beach, CA
(33.76672070300049, -118.19239725799969)",
"Los Angeles, CA",2014,28,251,,164,,63,,17,,2,,5,,15,,"Los Angeles, CA
(34.053492307000454, -118.24531669099969)",
"Pasadena, CA",2014,28,22,,16,,5,,1,,,-,,-,1,,"Pasadena, CA
(34.14745120700047, -118.14426554199969)",
"Portland, OR",2014,28,147,,105,,31,,6,,5,,,-,3,,"Portland, OR
(45.51178871100046, -122.6756275729997)",
"Sacramento, CA",2014,28,228,,176,,41,,8,,2,,1,,18,,"Sacramento, CA
(38.5793341750005, -121.49089596399972)",
"San Diego, CA",2014,28,184,,139,,29,,9,,3,,4,,5,,"San Diego, CA
(32.71569228000044, -117.16171662299968)",
"San Francisco, CA",2014,28,109,,68,,28,,9,,2,,2,,6,,"San Francisco, CA
(37.777123997000444, -122.4196366869997)",
"San Jose, CA",2014,28,212,,150,,47,,9,,2,,4,,12,,"San Jose, CA
(37.33858362500047, -121.8855697949997)",
"Santa Cruz, CA",2014,28,35,,29,,5,,1,,,-,,-,1,,"Santa Cruz, CA
(36.974020590000464, -122.03094750099973)",
"Seattle, WA",2014,28,140,,91,,32,,12,,3,,2,,8,,"Seattle, WA
(47.60356894300048, -122.32944721899969)",
"Spokane, WA",2014,28,62,,46,,13,,2,,,-,1,,3,,"Spokane, WA
(47.65725655300048, -117.41227666799972)",
"Tacoma, WA",2014,28,153,,101,,40,,6,,4,,2,,10,,"Tacoma, WA
(47.255128716000456, -122.44163694999969)",
Total¶,2014,28,11453,,7644,,2715,,685,,229,,177,,610,,,
New England,2014,29,553,,363,,128,,31,,21,,10,,39,,,
"Boston, MA",2014,29,161,,94,,44,,11,,8,,4,,12,,"Boston, MA
(42.35866324500046, -71.05673887699965)",
"Bridgeport, CT",2014,29,31,,21,,7,,1,,1,,1,,,-,"Bridgeport, CT
(41.1818813860005, -73.19126911399962)",
"Cambridge, MA",2014,29,10,,8,,2,,,-,,-,,-,1,,"Cambridge, MA
(42.366791640000486, -71.10600946299962)",
"Fall River, MA",2014,29,15,,10,,5,,,-,,-,,-,,-,"Fall River, MA
(41.69735122300045, -71.14364572399967)",
"Hartford, CT",2014,29,53,,40,,10,,3,,,-,,-,4,,"Hartford, CT
(41.76349046400048, -72.67401728199962)",
"Lowell, MA",2014,29,26,,16,,3,,4,,3,,,-,6,,"Lowell, MA
(42.64588146300048, -71.31283694999962)",
"Lynn, MA",2014,29,10,,7,,2,,1,,,-,,-,,-,"Lynn, MA
(42.46370266800045, -70.95021669199963)",
"New Bedford, MA",2014,29,21,,19,,1,,1,,,-,,-,2,,"New Bedford, MA
(41.637670036000486, -70.93086932199964)",
"New Haven, CT",2014,29,50,,27,,16,,4,,3,,,-,3,,"New Haven, CT
(41.307621422000466, -72.92461752399964)",
"Providence, RI",2014,29,84,,61,,16,,2,,4,,1,,6,,"Providence, RI
(41.823872836000476, -71.41198998599964)",
"Somerville, MA",2014,29,1,,1,,,-,,-,,-,,-,,-,"Somerville, MA
(42.386683880000476, -71.09825622299962)",
"Springfield, MA",2014,29,23,,14,,9,,,-,,-,,-,1,,"Springfield, MA
(42.10125212200046, -72.58928991799962)",
"Waterbury, CT",2014,29,15,,11,,2,,1,,1,,,-,1,,"Waterbury, CT
(41.55407260800047, -73.04616830899965)",
"Worcester, MA",2014,29,53,,34,,11,,3,,1,,4,,3,,"Worcester, MA
(42.2634136260005, -71.80218873199965)",
Mid. Atlantic,2014,29,1695,,1203,,361,,82,,31,,18,,69,,,
"Albany, NY",2014,29,46,,29,,13,,1,,2,,1,,1,,"Albany, NY
(42.65155347600046, -73.75520562899965)",
"Allentown, PA",2014,29,36,,27,,7,,1,,,-,1,,3,,"Allentown, PA
(40.602603640000495, -75.47025702899964)",
"Buffalo, NY",2014,29,95,,59,,26,,4,,4,,2,,5,,"Buffalo, NY
(42.88544137700046, -78.87845781999965)",
"Camden, NJ",2014,29,17,,12,,3,,1,,1,,,-,2,,"Camden, NJ
(39.94525309400046, -75.11912817799964)",
"Elizabeth, NJ",2014,29,22,,15,,5,,1,,,-,1,,1,,"Elizabeth, NJ
(40.6638122490005, -74.21143642799967)",
"Erie, PA",2014,29,46,,34,,9,,3,,,-,,-,4,,"Erie, PA
(42.12944247200045, -80.08523881899964)",
"Jersey City, NJ",2014,29,23,,14,,8,,,-,1,,,-,1,,"Jersey City, NJ
(40.71748199500047, -74.04384854999967)",
"New York City, NY",2014,29,993,,702,,212,,54,,16,,9,,35,,"New York City, NY
(40.71455220000047, -74.00711891899965)",
"Newark, NJ",2014,29,28,,18,,9,,,-,,-,1,,,-,"Newark, NJ
(40.73197019100047, -74.17420658799966)",
"Paterson, NJ",2014,29,22,,10,,8,,3,,,-,1,,,-,"Paterson, NJ
(40.91661430200048, -74.17163854999967)",
"Philadelphia, PA",2014,29,,U,,U,,U,,U,,U,,U,,U,"Philadelphia, PA
(39.95228281700048, -75.16244984999963)",
"Pittsburgh, PA§",2014,29,43,,39,,2,,1,,1,,,-,,-,"Pittsburgh, PA
(40.438343044000476, -79.99746553899968)",
"Reading, PA",2014,29,31,,26,,3,,1,,1,,,-,3,,"Reading, PA
(40.3366219720005, -75.92783660599963)",
"Rochester, NY",2014,29,133,,99,,28,,5,,1,,,-,7,,"Rochester, NY
(43.155804340000486, -77.61631886899966)",
"Schenectady, NY",2014,29,23,,15,,7,,,-,,-,1,,1,,"Schenectady, NY
(42.8122500820005, -73.94101987199963)",
"Scranton, PA",2014,29,41,,33,,5,,3,,,-,,-,2,,"Scranton, PA
(41.41015086800047, -75.66077859599966)",
"Syracuse, NY",2014,29,59,,43,,12,,2,,2,,,-,4,,"Syracuse, NY
(43.0499922730005, -76.14738815999965)",
"Trenton, NJ",2014,29,17,,10,,3,,2,,2,,,-,,-,"Trenton, NJ
(40.21788039500046, -74.75939751899966)",
"Utica, NY",2014,29,15,,15,,,-,,-,,-,,-,,-,"Utica, NY
(43.09589091300046, -75.24257707799967)",
"Yonkers, NY",2014,29,5,,3,,1,,,-,,-,1,,,-,"Yonkers, NY
(40.93299168200048, -73.89873881399967)",
E.N. Central,2014,29,2135,,1380,,540,,133,,41,,41,,127,,,
"Akron, OH",2014,29,61,,45,,11,,4,,1,,,-,2,,"Akron, OH
(41.084193248000474, -81.51405901999965)",
"Canton, OH",2014,29,34,,19,,13,,1,,,-,1,,5,,"Canton, OH
(40.79781020000047, -81.37156644799967)",
"Chicago, IL",2014,29,279,,179,,72,,13,,13,,2,,15,,"Chicago, IL
(41.88425074000048, -87.63244574499964)",
"Cincinnati, OH",2014,29,87,,54,,18,,7,,3,,5,,,-,"Cincinnati, OH
(39.1071305910005, -84.50412975199964)",
"Cleveland, OH",2014,29,268,,194,,60,,10,,3,,1,,17,,"Cleveland, OH
(41.50475289400049, -81.69071765199965)",
"Columbus, OH",2014,29,247,,152,,63,,12,,5,,15,,18,,"Columbus, OH
(39.961992230000476, -83.00274798399965)",
"Dayton, OH",2014,29,112,,86,,18,,7,,1,,,-,8,,"Dayton, OH
(39.759112821000485, -84.19443785699968)",
"Detroit, MI",2014,29,170,,92,,59,,15,,4,,,-,13,,"Detroit, MI
(42.33168322200049, -83.04799903299966)",
"Evansville, IN",2014,29,60,,42,,13,,4,,1,,,-,5,,"Evansville, IN
(37.977082544000496, -87.56404663099966)",
"Fort Wayne, IN",2014,29,98,,59,,27,,8,,,-,4,,2,,"Fort Wayne, IN
(41.080263035000485, -85.13830990099967)",
"Gary, IN",2014,29,15,,6,,5,,,-,3,,1,,1,,"Gary, IN
(41.6037138850005, -87.33716612199964)",
"Grand Rapids, MI",2014,29,58,,42,,13,,1,,,-,2,,4,,"Grand Rapids, MI
(42.96641270800046, -85.67117986599965)",
"Indianapolis, IN",2014,29,226,,136,,60,,21,,4,,5,,11,,"Indianapolis, IN
(39.76691072200049, -86.14995579899966)",
"Lansing, MI",2014,29,41,,30,,9,,2,,,-,,-,3,,"Lansing, MI
(42.73194420800047, -84.55224806999968)",
"Milwaukee, WI",2014,29,71,,42,,19,,8,,2,,,-,2,,"Milwaukee, WI
(43.04181028200048, -87.90683717599967)",
"Peoria, IL",2014,29,46,,27,,15,,2,,1,,1,,4,,"Peoria, IL
(40.69214105000049, -89.58775824399964)",
"Rockford, IL",2014,29,48,,30,,16,,1,,,-,1,,5,,"Rockford, IL
(42.2669016910005, -89.07834897499964)",
"South Bend, IN",2014,29,45,,31,,8,,6,,,-,,-,4,,"South Bend, IN
(41.67905339900045, -86.25403946499966)",
"Toledo, OH",2014,29,105,,62,,31,,9,,,-,3,,3,,"Toledo, OH
(41.65381070900048, -83.53625660699964)",
"Youngstown, OH",2014,29,64,,52,,10,,2,,,-,,-,5,,"Youngstown, OH
(41.09810084600048, -80.65078761499967)",
W.N. Central,2014,29,636,,380,,168,,50,,20,,16,,31,,,
"Des Moines, IA",2014,29,,-,,-,,-,,-,,-,,-,,-,"Des Moines, IA
(41.589761626000495, -93.61564652299967)",
"Duluth, MN",2014,29,25,,18,,6,,1,,,-,,-,1,,"Duluth, MN
(46.787955844000464, -92.09984801699966)",
"Kansas City, KS",2014,29,35,,22,,9,,3,,1,,,-,1,,"Kansas City, KS
(39.113521653000475, -94.6268190079997)",
"Kansas City, MO",2014,29,107,,68,,25,,9,,,-,4,,4,,"Kansas City, MO
(39.1029502720005, -94.5830775179997)",
"Lincoln, NC",2014,29,43,,33,,7,,3,,,-,,-,2,,"Lincoln, NC
(35.486046210000495, -81.22400479399965)",
"Minneapolis, MN",2014,29,75,,32,,31,,5,,3,,4,,8,,"Minneapolis, MN
(44.9790304010005, -93.26492855899966)",
"Omaha, NE",2014,29,89,,64,,17,,2,,4,,2,,5,,"Omaha, NE
(41.260691100000486, -95.94058667399969)",
"St. Louis, MO",2014,29,117,,54,,37,,15,,5,,6,,2,,"St. Louis, MO
(38.6277517260005, -90.19955850799965)",
"St. Paul, MN",2014,29,56,,35,,13,,4,,3,,,-,6,,"St. Paul, MN
(44.94382372600046, -93.09331667699968)",
"Wichita, KS",2014,29,89,,54,,23,,8,,4,,,-,2,,"Wichita, KS
(37.686983657000496, -97.33557577399966)",
S. Atlantic,2014,29,936,,585,,250,,60,,26,,15,,50,,,
"Atlanta, GA",2014,29,71,,44,,16,,8,,2,,1,,5,,"Atlanta, GA
(33.748311225000464, -84.39110931499965)",
"Baltimore, MD",2014,29,125,,67,,36,,14,,4,,4,,9,,"Baltimore, MD
(39.29058224000045, -76.60925970899967)",
"Charlotte, NC",2014,29,141,,94,,35,,9,,2,,1,,8,,"Charlotte, NC
(35.22286035400049, -80.83795956899968)",
"Jacksonville, FL",2014,29,142,,94,,34,,8,,5,,1,,7,,"Jacksonville, FL
(30.33147289700048, -81.65621662999968)",
"Miami, FL",2014,29,39,,28,,9,,1,,1,,,-,3,,"Miami, FL
(25.774810115000435, -80.19772778299966)",
"Norfolk, VA",2014,29,40,,22,,14,,1,,3,,,-,2,,"Norfolk, VA
(36.84682012200045, -76.28505728799968)",
